,,,後,,1265-30-9020
,,学校／ 養護教,前,,1265-30-9110
,,,後,,1265-30-9120
,,学校／ 義学校,前,,1265-30-9210
,,,後,,1265-30-9220
,,学校／ 義生活,前,,1265-30-9310
,,学校／ 義ＩＣ,前,,1265-30-9410
,,学校／ 義日本,前,,1265-30-9510
,,,後,,1265-30-9520
,,学校／ 義国語,前,,1265-30-9610
,,,後,,1265-30-9620
,,学校／ 義社会,前,,1265-30-9710
,,,後,,1265-30-9720
,,学校／ 義算数,前,,1265-30-9810
,,,後,,1265-30-9820
,,学校／ 義理科,前,,1265-30-9910
,,,後,,1265-30-9920
愛知県立,日本文化,国語国文,前,,2135-03-0110
,,,後,,2135-03-0120
,,歴史文化,前,,2135-03-0210
,,,後,,2135-03-0220
,外国語,英米,前,,2135-08-0110
,,,後,,2135-08-0120
,,中国,前,,2135-08-0510
,,,後,,2135-08-0520
,,国際関係,前,,2135-08-0810
,,,後,,2135-08-0820
,,ヨー／ フラン,前,,2135-08-0910
,,,後,,2135-08-0920
愛知県立,外国語,ヨー／ ドイツ,前,,2135-08-1110
,,,後,,2135-08-1120
,,ヨー／ スペイ,前,,2135-08-1210
,,,後,,2135-08-1220
,,ヨー／ ポルト,前,,2135-08-1310
,,,後,,2135-08-1320
,教育福祉,社会福祉,前,,2135-31-0210
,,,後,,2135-31-0220
,,教育／ 小学校,前,,2135-31-0310
,,,後,,2135-31-0320
,,教育／ 保育幼,前,,2135-31-0410
,,,後,,2135-31-0420
,情報科学,情報科学,前,,2135-37-0310
,,,後,,2135-37-0320
,看護,看護,前,,2135-64-0110
,,,後,,2135-64-0120
愛知県立芸術,美術,デザ／ デザイ,後,,2145-83-0120
,,デザ／ 陶磁,後,,2145-83-0220
,,美術／ 油画,後,,2145-83-0320
,,美術／ 彫刻,後,,2145-83-0420
,,美術／ 日本画,後,,2145-83-0520
,,美術／ 芸術学,後,,2145-83-0620
,,デザ／ メディ,後,,2145-83-0720
,音楽,音楽／ 管打楽,後,,2145-84-0120
,,音楽／ 弦楽器,後,,2145-84-0220
,,音楽／ ピアノ,後,,2145-84-0320
,,音楽／ 音楽学,後,,2145-84-0420
,,音楽／ 作曲,後,,2145-84-0520
,,音楽／ 声楽,後,,2145-84-0620
愛知工科,工,機械シス工,,前期,3554-46-0201
,,,,中期,3554-46-0202
,,,共,前期,3554-46-0271
,,電子ロボット,,前期,3554-46-0301
,,,,中期,3554-46-0302
,,,共,前期,3554-46-0371
,,情報メディア,,前期,3554-46-0401
,,,,中期,3554-46-0402
,,,共,前期,3554-46-0471
